episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1514.024709452038,1394,1391,3,1391,0,889,394,108,3,1000,349,651,0,731,87,644,24,0,8924.717599147232,392,1394,1391,1394,1391,3,392,1.649860999413899,0.8282067048914579,0.8216542938382042,-0.6568084454582054,3.082334076445217,0.10350922495126724,0.7871849776283667,2.129668635373213,-0.06803927161331094,-0.06927983816288416,-0.07102335774938442,9.104653600006714,"{""DC-1"": -258.32775403136185, ""DC-2"": -212.1067550959847, ""DC-3"": -385.07725943197846, ""DC-4"": -306.85637199787215, ""DC-5"": -351.65656889483927}"
2,43,-1495.9263521659527,1372,1369,3,1369,0,898,372,99,3,1000,346,654,0,743,102,641,37,0,9156.415594894863,1372,2766,2760,2766,2760,6,1764,2.0901854751582745,1.0381514632058908,1.0520340136466846,-4.4286511122756815,3.9804095052421613,0.11896492540836334,0.32153028579097537,2.1321856219636457,2.4826483483651636,2.483102200203236,2.484694326121317,17.842847600011737,"{""DC-1"": -225.24100994287053, ""DC-2"": -283.58636573170475, ""DC-3"": -234.4001482106051, ""DC-4"": -343.5896956729807, ""DC-5"": -409.10913260779}"
3,44,-1484.1837330317294,1405,1401,4,1401,0,883,405,113,4,1000,357,643,0,710,79,631,23,0,8065.668293578742,1400,4171,4161,4171,4161,10,3164,2.3432634449005127,1.1568463747416224,1.1864170682856015,-10.429861535685403,4.073005575622831,0.1376873403787613,0.1511392054972904,2.132925305025918,8.152940215383257,8.151701028347015,8.158477818965912,19.11378169999807,"{""DC-1"": -199.17888523192184, ""DC-2"": -314.2071917838915, ""DC-3"": -262.1053341780875, ""DC-4"": -312.203988136389, ""DC-5"": -396.4883337014354}"
4,45,-686.6541398050616,1238,1234,4,839,395,659,238,337,4,1000,521,479,0,531,84,447,60,0,9035.563642227045,1232,5409,5395,5409,5395,14,4396,2.5960614769296213,1.2879816220178233,1.3080798539925704,-16.678811742113783,3.886349853370097,0.15615308284759521,0.107871280626285,2.1323576048984156,14.372786569130884,14.372323098894837,14.375082291565933,17.27212039999722,"{""DC-1"": -222.50818423385095, ""DC-2"": -172.8428423567148, ""DC-3"": -47.64819733559817, ""DC-4"": -121.78825116791967, ""DC-5"": -121.86666471097699}"
5,46,-1951.2573440393696,1000,1000,0,0,1000,976,0,24,0,1000,161,839,0,909,71,838,172,0,9042.032584019293,1000,6409,6395,6409,6395,14,5396,2.5567825433015825,1.2742348603010178,1.2825476831793785,-23.537695446014403,3.5860388145446778,0.17240826785564423,0.1494395593777299,2.1335310015678406,21.450405797958375,21.45049230480194,21.454012440681456,13.969366200006334,"{""DC-1"": -357.9151966374966, ""DC-2"": -401.53855598543316, ""DC-3"": -327.05047776904263, ""DC-4"": -441.0152488279719, ""DC-5"": -423.7378648194259}"
6,47,-1275.049384980468,1000,1000,0,0,1000,825,0,175,0,1000,321,679,0,736,74,662,115,0,8217.06616946589,1000,7409,7395,7409,7395,14,6396,3.247792891025543,1.61072004789114,1.6370728483200074,-29.870430618286132,3.182811941862106,0.18974843621253967,0.27335526151955125,2.134051819562912,27.688456815719604,27.689299280166626,27.688150148391724,13.844665800002986,"{""DC-1"": -248.52903881664554, ""DC-2"": -346.5835312624439, ""DC-3"": 25.15930191163504, ""DC-4"": -348.5629549658852, ""DC-5"": -356.53316184712827}"
7,48,-478.48915083341785,1000,1000,0,0,1000,614,0,386,0,1000,512,488,0,526,66,460,126,0,7336.989082663846,1000,8409,8395,8409,8395,14,7396,3.6490954473018644,1.80113401055336,1.8479614354372025,-33.57712649345398,3.05268071603775,0.2096380889415741,0.24240034499764443,2.135664302110672,31.433329774856567,31.432495668411256,31.433450660705567,14.650446899991948,"{""DC-1"": -298.3555278796347, ""DC-2"": -24.83803309749384, ""DC-3"": 46.57782819208041, ""DC-4"": -366.2031117949352, ""DC-5"": 164.3296937465655}"
8,49,-365.9369954130363,1000,1000,0,0,1000,620,0,380,0,1000,535,465,0,498,48,450,118,0,8665.285457494443,1000,9409,9395,9409,9395,14,8396,3.9778079364299774,1.9585179653167724,2.0192899782657623,-38.359106204986574,2.839560690879822,0.2314443439245224,0.2592992856502533,2.1360377604961394,36.189128025054934,36.18806558036804,36.18977805328369,14.089394000009634,"{""DC-1"": -300.27265520594506, ""DC-2"": -33.78483521412602, ""DC-3"": -169.0012228748493, ""DC-4"": -100.90398112266729, ""DC-5"": 238.0256990045516}"
9,50,-2.9433852308377917,1000,1000,0,0,1000,474,0,526,0,1000,632,368,0,391,71,320,122,0,8130.039218902041,1000,10409,10395,10409,10395,14,9396,4.417659338474274,2.1838583813905714,2.2338009526729583,-43.26892216873169,2.616469700574875,0.2554965615272522,0.2863978852033615,2.136529389858246,41.113185359954834,41.112337409973144,41.11450494003296,14.174644899991108,"{""DC-1"": 75.3983957742042, ""DC-2"": 89.36800988457117, ""DC-3"": -306.9958429349555, ""DC-4"": 77.84707191595673, ""DC-5"": 61.43898012938561}"
10,51,928.5044837242913,1000,1000,0,0,1000,208,0,792,0,1000,859,141,0,104,30,74,21,0,7924.214465517795,1000,11409,11395,11409,11395,14,10396,4.87250600528717,2.4182395659685136,2.4542664411067965,-47.734792362213135,2.407959488630295,0.28207680583000183,0.3061415813565254,2.1369873394966126,45.681083953857424,45.68040729904175,45.680727863311766,14.924370299995644,"{""DC-1"": 263.0309476298584, ""DC-2"": 151.7486516825802, ""DC-3"": 187.6742173782397, ""DC-4"": 136.6127358216387, ""DC-5"": 189.43793121197493}"
