episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1560.625420716243,1417,1417,0,1417,0,894,417,106,0,1000,472,528,0,690,163,527,29,0,15162.875990386214,0,1417,1417,1417,1158,259,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.8970588000374846,"{""DC-1"": -304.7365365349461, ""DC-2"": -253.59119923600332, ""DC-3"": -286.686378392642, ""DC-4"": -313.4224791649541, ""DC-5"": -402.1888273876988}"
2,43,-1745.4033602898653,1364,1364,0,1364,0,896,364,104,0,1000,441,559,0,709,150,559,27,0,14109.171329116363,0,2781,2781,2781,2304,477,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.8107277000090107,"{""DC-1"": -318.51300939163497, ""DC-2"": -329.22118227444645, ""DC-3"": -254.38324403860446, ""DC-4"": -320.8503586557639, ""DC-5"": -522.4355659294167}"
3,44,-1756.7625112661406,1393,1393,0,1393,0,892,393,108,0,1000,441,559,0,733,174,559,25,0,13102.866539369203,0,4174,4174,4174,3452,722,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.7899510000133887,"{""DC-1"": -303.61303355673573, ""DC-2"": -428.6305105594779, ""DC-3"": -243.9244696168247, ""DC-4"": -357.5500800425935, ""DC-5"": -423.0444174905101}"
4,45,-1020.7509491204125,1325,1325,0,826,499,726,325,274,0,1000,566,434,0,558,127,431,28,0,15265.31881285634,250,5499,5499,5499,4573,926,250,8.915529253005982,4.454557226181031,4.460971994400024,0.09119112268462777,-3.062201608777046,0.09910690784454346,1.8839087883234025,0.5362558078765869,-1.0370856679423597,-1.0334905818736297,-1.0942691600322723,6.735973000002559,"{""DC-1"": -131.4332510838131, ""DC-2"": -242.6343765635712, ""DC-3"": -125.03631264260275, ""DC-4"": -309.70962323111235, ""DC-5"": -211.9373855993149}"
5,46,1232.6806202481068,1011,1011,0,0,1011,182,11,818,0,1000,946,54,0,79,31,48,11,0,9561.25948702532,506,6510,6510,6510,5573,937,756,6.3229035190913985,3.1495907089926978,3.1733128162240796,-2.3984872800088213,0.712225668632937,0.09977234899997711,0.22736334632861285,0.5359363346231785,0.012383721120979475,0.012395021829592146,0.020335923396271795,8.702475099998992,"{""DC-1"": 311.9937090407718, ""DC-2"": 268.99538723009533, ""DC-3"": 223.11078478954823, ""DC-4"": 232.63388966397358, ""DC-5"": 195.9468495237174}"
6,47,1304.0467302885747,1001,1001,0,0,1001,192,1,808,0,1000,955,45,0,85,45,40,10,0,11336.391600768344,500,7511,7511,7511,6573,938,1256,4.766013736724854,2.374512516736984,2.391501219987869,-4.808218820571899,0.4645425308942795,0.10042034834623337,0.33397458761930465,0.5356858189105987,2.487494597196579,2.4868660113811494,2.498715485095978,8.57271869998658,"{""DC-1"": 294.70385702409044, ""DC-2"": 269.84458652233366, ""DC-3"": 282.66721076888706, ""DC-4"": 175.62491499888233, ""DC-5"": 281.2061609743823}"
7,48,1243.9039282148779,1000,1000,0,0,1000,206,0,794,0,1000,946,54,0,101,51,50,25,0,11814.355865170115,500,8511,8511,8511,7573,938,1756,4.443162815093994,2.2135250537395477,2.2296377675533297,-7.708588390350342,0.18165361637063324,0.10075408220291138,0.45632685434818265,0.5358948731422424,5.343927306175232,5.344128847122192,5.353857510566711,8.382744700007606,"{""DC-1"": 249.73766736734268, ""DC-2"": 265.7267696971841, ""DC-3"": 230.12881311906492, ""DC-4"": 217.04529556837676, ""DC-5"": 281.26538246290863}"
8,49,1021.9782807132259,1000,1000,0,0,1000,226,0,774,0,1000,912,88,0,146,61,85,36,0,14521.892478263271,500,9511,9511,9511,8573,938,2256,4.2004280891418455,2.0979397897720338,2.102488299369812,-10.970520946502685,0.32364958637952806,0.10147707164287567,0.3950238369703293,0.535760207414627,8.56009358882904,8.559789847373962,8.566638980865479,8.54165779997129,"{""DC-1"": 178.69700140824384, ""DC-2"": 276.8631730848688, ""DC-3"": 79.24350610850671, ""DC-4"": 151.95364103660785, ""DC-5"": 335.22095907499926}"
9,50,1220.3938914124906,1000,1000,0,0,1000,215,0,785,0,1000,943,57,0,125,71,54,39,0,13018.061032954281,500,10511,10511,10511,9573,938,2756,4.131943856716156,2.0625697071552276,2.0693741610050203,-14.325503017425538,0.281608441144228,0.10223802924156189,0.412621342420578,0.5356423547267913,11.825951843261718,11.82559123802185,11.828950338363647,8.306071699946187,"{""DC-1"": 365.66041615722776, ""DC-2"": 80.46022929207616, ""DC-3"": 295.79774670688795, ""DC-4"": 229.6273594695427, ""DC-5"": 248.84813978675533}"
10,51,1348.001588830753,1000,1000,0,0,1000,172,0,828,0,1000,965,35,0,86,53,33,24,0,15615.42649519378,500,11511,11511,11511,10573,938,3256,4.039648506164551,2.0146030607223513,2.025045445919037,-17.784811897277834,0.4430200159549713,0.1036268100142479,0.34108849382400513,0.5357796742916107,15.267287935256958,15.267617614746094,15.275929708480835,8.615477500017732,"{""DC-1"": 366.1480513492926, ""DC-2"": 177.32117150322892, ""DC-3"": 243.37622327598044, ""DC-4"": 253.9006569021602, ""DC-5"": 307.25548580009024}"
