episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-4004.7712633515257,1417,1417,0,1417,0,894,417,106,0,1000,472,528,0,690,163,527,29,0,15162.875990386214,0,1417,1417,1417,1417,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.6727607999928296,"{""DC-1"": -807.019921148213, ""DC-2"": -700.0470646916443, ""DC-3"": -842.5874001073187, ""DC-4"": -783.1557308582991, ""DC-5"": -871.9611465460513}"
2,43,-4277.829808072671,1364,1364,0,1364,0,896,364,104,0,1000,441,559,0,709,150,559,27,0,14109.171329116363,0,2781,2781,2781,2781,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.1409213000442833,"{""DC-1"": -810.2841246501443, ""DC-2"": -781.8568087540444, ""DC-3"": -742.6218121076085, ""DC-4"": -750.5122839799376, ""DC-5"": -1192.554778580937}"
3,44,-4303.0971096838875,1393,1393,0,1393,0,892,393,108,0,1000,441,559,0,733,174,559,25,0,13102.866539369203,0,4174,4174,4174,4174,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.0686548000085168,"{""DC-1"": -792.8349727450093, ""DC-2"": -1061.788026778453, ""DC-3"": -607.369287299084, ""DC-4"": -836.7985729650529, ""DC-5"": -1004.3062498962885}"
4,45,-2059.6520893666784,1353,1353,0,826,527,579,353,421,0,1000,668,332,0,435,105,330,20,0,12737.87737235395,528,5527,5527,5527,5527,0,528,18.13350651842175,9.049743676727468,9.08376282543847,-0.4488053573507138,-1.211814126218528,0.09934891015291214,1.0678112092004581,0.5324277193708853,-2.036783037932103,-2.030958161146621,-2.1009830791841853,11.750651800015476,"{""DC-1"": -263.28309930803243, ""DC-2"": -395.9691070722754, ""DC-3"": -345.38003300732885, ""DC-4"": -617.9066140906943, ""DC-5"": -437.11323588835}"
5,46,547.0843865593987,1047,1047,0,0,1047,205,47,795,0,1000,910,90,0,114,29,85,52,0,11482.363788938888,1048,6574,6574,6574,6574,0,1576,10.441032540252191,5.160196042697848,5.280836484131922,-4.200940655160497,0.7823575443893899,0.10151981562376022,0.19222478108580104,0.5325051647333698,0.8137322545659422,0.8177272408422196,0.8307524726064947,18.83302670001285,"{""DC-1"": -135.39893260436608, ""DC-2"": 212.2279039038604, ""DC-3"": 66.64824395983547, ""DC-4"": 156.82418480478444, ""DC-5"": 246.78298649528423}"
6,47,1174.9758664261026,1004,1004,0,0,1004,126,4,874,0,1000,971,29,0,59,33,26,27,0,14030.879202815824,1004,7578,7578,7578,7578,0,2580,8.27462503444626,4.049738554365606,4.224886465595063,-9.02430437760524,0.7632970472730963,0.10458673536777496,0.19717723098527862,0.5329772676842146,5.912479775122912,5.912793048586979,5.923362369556351,17.87717180000618,"{""DC-1"": 315.7149991963705, ""DC-2"": 240.8039055152513, ""DC-3"": 148.401003523991, ""DC-4"": 190.4158382833313, ""DC-5"": 279.6401199071581}"
7,48,1053.3019957516265,1000,1000,0,0,1000,196,0,804,0,1000,957,43,0,110,71,39,21,0,12557.045283301022,1000,8578,8578,8578,8578,0,3580,7.283960267066956,3.5649600784778595,3.719000190973282,-14.604809043884277,0.5277439469397068,0.10736288875341415,0.298112299233675,0.5332440366744995,11.665007468223571,11.664338220119477,11.672616658210755,17.461043699993752,"{""DC-1"": 261.6943324296924, ""DC-2"": 180.471513040707, ""DC-3"": 178.062294395148, ""DC-4"": 132.56018694802393, ""DC-5"": 300.5136689380526}"
8,49,900.690663897723,1000,1000,0,0,1000,224,0,776,0,1000,940,60,0,127,71,56,27,0,14507.968047333377,1000,9578,9578,9578,9578,0,4580,6.903011312961579,3.3953447461128237,3.507666570186615,-21.063417530059816,0.5515956801176071,0.11107039451599121,0.2847720011770725,0.5336333367824554,18.22084426307678,18.22054378223419,18.229078649520876,18.213248699961696,"{""DC-1"": 307.37887442483964, ""DC-2"": -64.24317403618512, ""DC-3"": 209.98607400616345, ""DC-4"": 205.3537988293446, ""DC-5"": 242.21509067355942}"
9,50,1390.4726211479378,1000,1000,0,0,1000,195,0,805,0,1000,987,13,0,79,69,10,6,0,12658.942624064352,1000,10578,10578,10578,10578,0,5580,6.414562419891357,3.168748975276947,3.2458134427070617,-27.068081020355226,0.5614095703363419,0.11555057764053345,0.27590379616618155,0.5335767409801483,24.403208141326903,24.402156196594238,24.406413896560668,18.205419400008395,"{""DC-1"": 352.07855237223566, ""DC-2"": 255.1299379561284, ""DC-3"": 270.0167506214525, ""DC-4"": 249.57140413037786, ""DC-5"": 263.67597606774257}"
10,51,1006.5270238742448,1000,1000,0,0,1000,199,0,801,0,1000,950,50,0,94,46,48,42,0,15105.606476726352,1000,11578,11578,11578,11578,0,6580,5.943066000461578,2.940585736632347,3.002480266571045,-33.000936519622805,0.6215318156480789,0.12119301408529282,0.24277938076853753,0.533865686416626,30.564870740890502,30.56439526939392,30.56820121002197,18.789661000017077,"{""DC-1"": 305.35824063128837, ""DC-2"": 235.81088491505625, ""DC-3"": -21.85765585785922, ""DC-4"": 222.25154539925572, ""DC-5"": 264.9640087865021}"
