time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,Non_renewable_rate,renewable_rate,biomass_rate,generation_geothermal_rate,generation_hydro_run-of-river_and_poundage_rate,generation_hydro_water_reservoir_rate,generation_marine_rate,generation_solar_rate,generation_wind_offshore_rate,generation_wind_onshore_rate,generation_other_renewable_rate
2015-01-01 00:00:00+01:00,447.0,329.0,0.0,4844.0,4821.0,162.0,0.0,0.0,0.0,,863.0,1051.0,1899.0,0.0,7096.0,43.0,73.0,49.0,196.0,0.0,6378.0,17.0,,6436.0,26118.0,25385.0,50.1,65.41,0.6386373594274865,0.3613626405725135,0.02491916601627829,0.0,0.056682127062884266,0.09793708096957195,0.0,0.0027936145952109463,0.0,0.2672085131341908,0.004156228649510362
2015-01-01 01:00:00+01:00,449.0,328.0,0.0,5196.0,4755.0,158.0,0.0,0.0,0.0,,920.0,1009.0,1658.0,0.0,7096.0,43.0,71.0,50.0,195.0,0.0,5890.0,16.0,,5856.0,24934.0,24382.0,48.1,64.92,0.6606810915309689,0.3393189084690312,0.02464324917672887,0.0,0.05372736954206603,0.08533635287456895,0.0,0.002805678693676,0.0,0.2489328430751025,0.003979374509584127
2015-01-01 02:00:00+01:00,448.0,323.0,0.0,4857.0,4581.0,157.0,0.0,0.0,0.0,,1164.0,973.0,1371.0,0.0,7099.0,43.0,73.0,50.0,196.0,0.0,5461.0,8.0,,5454.0,23515.0,22734.0,47.33,64.48,0.6732209737827716,0.3267790262172285,0.025305015815634886,0.0,0.053376488013604693,0.07360283459494282,0.0,0.0028891713856465965,0.0,0.2403926574811815,0.0042125916094408215
2015-01-01 03:00:00+01:00,438.0,254.0,0.0,4314.0,4131.0,160.0,0.0,0.0,0.0,,1503.0,949.0,779.0,0.0,7098.0,43.0,75.0,50.0,191.0,0.0,5238.0,2.0,,5151.0,22642.0,21286.0,42.27,59.32,0.6825885328836425,0.3174114671163575,0.0263395273317698,0.0,0.05536756126021004,0.04590453741897466,0.0,0.003078628163290438,0.0,0.24443511129777404,0.004610844706750277
2015-01-01 04:00:00+01:00,428.0,187.0,0.0,4130.0,3840.0,156.0,0.0,0.0,0.0,,1826.0,953.0,720.0,0.0,7097.0,43.0,74.0,42.0,189.0,0.0,4935.0,9.0,,4861.0,21785.0,20264.0,38.41,56.04,0.6862332192682284,0.3137667807317715,0.026633478531425017,0.0,0.05742693582404339,0.04400440044004401,0.0,0.0026778882938026014,0.0,0.23983087913690043,0.004708577246118605
2015-01-01 05:00:00+01:00,410.0,178.0,0.0,4038.0,3590.0,156.0,0.0,0.0,0.0,,2109.0,952.0,743.0,0.0,7098.0,43.0,74.0,34.0,188.0,0.0,4618.0,4.0,,4617.0,21441.0,19905.0,35.72,53.63,0.6912123677786819,0.3087876322213181,0.026112986433985096,0.0,0.0586098627100905,0.04633902956218037,0.0,0.0022185970636215335,0.0,0.23195539705660756,0.0048161405792385295
2015-01-01 06:00:00+01:00,401.0,172.0,0.0,4040.0,3368.0,158.0,0.0,0.0,0.0,,2108.0,961.0,848.0,0.0,7098.0,43.0,74.0,34.0,186.0,0.0,4397.0,3.0,,4276.0,21285.0,20010.0,35.13,51.73,0.6916896235078053,0.3083103764921946,0.0259278417173154,0.0,0.059965056782728066,0.05328976308678439,0.0,0.0022518047552818068,0.0,0.22592744836090844,0.004888037518990686
2015-01-01 07:00:00+01:00,408.0,172.0,0.0,4030.0,3208.0,160.0,0.0,0.0,0.0,,2031.0,983.0,1012.0,0.0,7099.0,43.0,72.0,35.0,189.0,0.0,3992.0,12.0,,3994.0,21545.0,20377.0,36.22,51.43,0.6962108115684718,0.3037891884315283,0.026650989613952576,0.0,0.061886174767061194,0.06359580217432288,0.0,0.0023433315479378684,0.0,0.21129518869422537,0.004808655580044079
2015-01-01 08:00:00+01:00,413.0,177.0,0.0,4052.0,3335.0,161.0,0.0,0.0,0.0,,2119.0,1001.0,1015.0,0.0,7098.0,43.0,73.0,54.0,198.0,0.0,3629.0,39.0,,3602.0,21443.0,20094.0,32.4,48.98,0.7089274789401854,0.2910725210598145,0.02668475802804161,0.0,0.062309368191721136,0.0631258162821071,0.0,0.0035719010451117873,0.0,0.19413684266837855,0.004822620070027086
2015-01-01 09:00:00+01:00,419.0,177.0,0.0,4137.0,3437.0,163.0,0.0,0.0,0.0,,2170.0,1041.0,1357.0,0.0,7097.0,43.0,74.0,743.0,198.0,0.0,3073.0,784.0,,3212.0,21560.0,20637.0,36.6,54.2,0.6945671478664784,0.3054328521335215,0.026737285431689108,0.0,0.06389246915853435,0.08170269131193932,0.0,0.04645201625507971,0.0,0.1676944065484311,0.004828396189481926
2015-01-01 10:00:00+01:00,422.0,173.0,0.0,4059.0,3516.0,167.0,0.0,0.0,0.0,,2020.0,1041.0,1817.0,0.0,7096.0,43.0,72.0,2019.0,204.0,0.0,2683.0,1996.0,,2617.0,22824.0,22250.0,43.1,58.94,0.654512697323267,0.345487302676733,0.02691326530612245,0.0,0.06386894901527701,0.10641288433382137,0.0,0.11686056607049836,0.0,0.14954573323672035,0.004696673189823875
