job_id,cpu_request,gpu_request,duration,arrive_time
354904__sample_000000,28.0,0.2,333.0,1.8924782632709485
297678__sample_000001,8.0,0.2,1312.0,4.3771225028693586
256887__sample_000002,8.0,1.0,1069.0,5.811703604591926
180192__sample_000003,4.0,0.5,198.0,11.318812856339683
62536__sample_000004,2.0,1.0,718.0,14.113224119122068
381157__sample_000005,46.0,0.2,622.0,15.170194243110329
131728__sample_000006,8.0,1.0,33.0,24.363553641312663
346481__sample_000007,13.0,1.0,2830.0,26.30088061074751
183130__sample_000008,4.0,0.5,1584.0,29.438010139458562
175049__sample_000009,4.0,0.5,705.0,38.915992574297064
360916__sample_000010,13.0,1.0,320.0,42.83118978972639
381244__sample_000011,112.0,0.8,489.0,43.328448253157504
442562__sample_000012,56.0,0.4,12.0,54.570914988886344
646__sample_000013,4.0,0.1,1119.0,58.523222704625645
299839__sample_000014,8.0,1.0,2009.0,60.154527966830884
200534__sample_000015,8.0,1.0,121.0,60.754435249296584
135820__sample_000016,8.0,1.0,4465.0,67.07444083201766
456512__sample_000017,96.0,0.8,380.0,70.94554286226906
384061__sample_000018,184.0,0.8,1236.0,73.99519829446518
458516__sample_000019,84.0,0.8,267.0,82.96841161661096
76829__sample_000020,2.0,1.0,4236.0,89.18437167139525
145186__sample_000021,8.0,1.0,20.0,89.84233695190062
312823__sample_000022,12.0,1.0,1506.0,91.33658715748382
52135__sample_000023,2.0,1.0,164.0,92.47926563167917
110934__sample_000024,8.0,1.0,24.0,97.92873787915282
102913__sample_000025,4.0,1.0,978.0,98.06516803858418
50947__sample_000026,2.0,0.2,607.0,101.44002226412874
237832__sample_000027,20.0,1.0,389.0,107.18967712756786
318429__sample_000028,4.0,0.8,103.0,115.56434650511162
235224__sample_000029,8.0,1.0,78.0,117.23904487929198
261946__sample_000030,8.0,1.0,2410.0,124.126276733456
106699__sample_000031,4.0,1.0,1439.0,124.5952522738511
82883__sample_000032,2.0,1.0,1344.0,132.09022810269786
93820__sample_000033,2.0,1.0,109.0,132.63574662481014
78395__sample_000034,2.0,1.0,566.0,134.66100514964958
58028__sample_000035,2.0,1.0,1811.0,141.04502660295555
46037__sample_000036,2.0,0.2,691.0,141.6947137626372
197620__sample_000037,8.0,1.0,40.0,142.73628585241622
264025__sample_000038,8.0,0.2,626.0,147.86045824299583
302195__sample_000039,8.0,1.0,1852.0,152.95284293096262
305341__sample_000040,8.0,1.0,1854.0,157.05221976591218
407691__sample_000041,112.0,0.8,298.0,161.78822660226265
319289__sample_000042,4.0,0.8,689.0,164.9181030070452
402328__sample_000043,13.0,1.0,3578.0,166.07843780408285
216095__sample_000044,8.0,1.0,9.0,167.7751705792559
396201__sample_000045,112.0,0.8,1296.0,168.57677567732202
389923__sample_000046,112.0,0.8,354.0,178.14028023461663
466441__sample_000047,8.0,1.0,40.0,181.64271645316302
199170__sample_000048,8.0,1.0,737.0,183.6916990910791
310968__sample_000049,4.0,1.0,912.0,186.17132911636375
165642__sample_000050,4.0,0.3,980.0,197.9426240643526
316484__sample_000051,4.0,1.0,4571.0,198.60850226486662
143690__sample_000052,8.0,1.0,19.0,202.13828070130083
116236__sample_000053,8.0,1.0,3965.0,204.95825846447354
99931__sample_000054,4.0,1.0,1784.0,208.73963573648584
88871__sample_000055,2.0,1.0,53.0,208.81274045811182
371922__sample_000056,28.0,0.2,259.0,217.0395145482746
46373__sample_000057,2.0,0.2,160.0,227.79946869503962
46843__sample_000058,2.0,0.2,603.0,231.1303305508132
81019__sample_000059,2.0,1.0,529.0,235.90181351291704
90170__sample_000060,2.0,1.0,156.0,246.13169094429955
321112__sample_000061,20.0,1.0,1844.0,251.04528075786962
404345__sample_000062,14.0,1.0,290.0,251.7073227943661
171513__sample_000063,4.0,0.5,389.0,255.14213139377634
389288__sample_000064,112.0,0.8,995.0,258.8750148219124
162788__sample_000065,16.0,1.0,128.0,261.08251283760364
37723__sample_000066,4.0,1.0,61.0,266.4164740531372
315134__sample_000067,4.0,1.0,1778.0,277.3111815961871
135316__sample_000068,8.0,1.0,14.0,287.7026864484036
166945__sample_000069,4.0,0.3,1247.0,290.1001436336181
113683__sample_000070,8.0,1.0,349.0,290.58085845182524
176848__sample_000071,4.0,0.5,109.0,307.33755440830805
182280__sample_000072,4.0,0.5,204.0,314.6404268515818
440005__sample_000073,14.0,1.0,155.0,315.1730106904501
130397__sample_000074,8.0,1.0,12.0,325.31824245430323
107352__sample_000075,8.0,1.0,1129.0,333.4759381792107
1226__sample_000076,4.0,0.1,790.0,336.40214372308526
160523__sample_000077,8.0,1.0,36.0,339.98099887040155
60615__sample_000078,2.0,1.0,187.0,342.0176582440376
87714__sample_000079,2.0,1.0,30.0,342.2429308410108
244403__sample_000080,8.0,1.0,1802.0,343.87599038621374
280917__sample_000081,8.0,1.0,1370.0,350.37122203047846
304882__sample_000082,8.0,1.0,1991.0,350.38979316674386
231815__sample_000083,4.0,1.0,2719.0,352.01264875310454
159102__sample_000084,8.0,1.0,71.0,354.04376113252323
250777__sample_000085,20.0,1.0,1932.0,357.12729322901873
282849__sample_000086,8.0,1.0,1232.0,367.2229951336309
134432__sample_000087,8.0,1.0,4109.0,368.92370357719403
53725__sample_000088,2.0,1.0,101.0,370.62812952102803
466270__sample_000089,8.0,1.0,929.0,375.9781653276903
317142__sample_000090,4.0,0.8,151.0,378.38567642165964
100664__sample_000091,4.0,1.0,1857.0,379.4032063164705
155628__sample_000092,8.0,1.0,30.0,381.81233571877516
156968__sample_000093,8.0,1.0,94.0,382.4196154065007
70159__sample_000094,2.0,1.0,1276.0,383.1958334193331
348609__sample_000095,104.0,0.8,2697.0,385.9553855905444
384472__sample_000096,112.0,0.8,432.0,388.1268904555684
128369__sample_000097,8.0,1.0,406.0,397.98006139657963
99133__sample_000098,4.0,1.0,1649.0,399.7801997287385
165423__sample_000099,4.0,0.3,103.0,403.2558092638796
253351__sample_000100,4.0,1.0,1745.0,407.257372353951
123360__sample_000101,8.0,1.0,3139.0,407.31009613325364
106930__sample_000102,4.0,1.0,912.0,411.6671689213976
291157__sample_000103,8.0,1.0,1087.0,412.4514034821946
